,City,Latitude,Temperature,Cloudiness,Humidity,Wind Speed
49,Tiksi,71.69,35.22,100,93,2.59
50,College,64.86,58.62,90,82,6.93
51,Longyearbyen,78.22,35.6,75,93,6.93
52,Bluff,-46.6,39.0,99,83,3.0
53,Ouadda,8.08,71.76,100,89,2.95
54,Praia da Vitória,38.73,64.4,20,63,11.81
55,New Norfolk,-42.78,50.31,13,83,1.99
56,Chokurdakh,70.63,69.19,100,46,9.55
57,Chop,48.43,61.59,100,83,10.22
58,Puerto Ayora,-0.74,74.44,75,78,13.87
59,Río Gallegos,-51.62,37.4,90,93,8.05
60,Poronaysk,49.22,45.16,100,88,4.16
61,Les Cayes,18.2,84.76,99,68,7.76
62,Kahului,20.89,77.34,20,54,21.92
63,Atuona,-9.8,80.22,53,74,15.66
64,Saint-Philippe,-21.36,67.06,75,56,11.41
65,Ribeira Grande,38.52,62.6,75,67,6.93
66,Provideniya,64.38,46.4,100,75,4.47
67,Tsimmerbude,54.67,57.2,75,82,11.18
68,Bubanza Province,-3.12,67.95,62,74,1.66
69,Teya,60.38,42.64,6,74,6.98
70,Teahupoo,-17.83,82.2,20,69,5.82
71,Farim,12.48,100.4,73,42,4.7
72,Yellowknife,62.46,66.2,20,42,21.92
73,Flinders,-34.58,55.56,0,60,5.01
74,St. George's,12.06,86.0,20,70,13.87
75,Thompson,55.74,73.4,75,46,9.17
76,Grindavik,63.84,48.2,90,100,24.16
77,Hithadhoo,-0.6,83.86,95,74,11.21
78,Wasilla,61.58,61.54,1,42,5.41
79,Belomorsk,64.52,65.93,0,58,9.4
80,Luanda,-8.84,73.4,20,83,6.93
81,Hofn,64.25,50.81,0,79,10.47
82,Jamestown,42.1,65.52,1,34,9.17
83,Yulara,-25.24,44.6,54,65,5.82
84,Tuatapere,-46.13,39.0,100,83,3.0
85,Bambous Virieux,-20.34,71.31,20,83,9.17
86,Talnakh,69.49,50.0,85,71,6.71
87,Kapaa,22.08,79.12,40,69,13.87
88,Juan de Ayolas,-27.4,56.55,28,61,7.92
89,Sinnamary,5.38,82.4,63,78,4.65
90,Mulchén,-37.72,55.4,14,50,11.41
91,Butaritari,3.07,82.02,57,75,7.9
92,Kutum,14.2,82.45,54,15,4.65
93,Tuktoyaktuk,69.45,60.8,20,55,11.41
94,Vaini,-21.2,71.6,20,73,12.75
95,Norrtälje,59.76,62.24,0,34,5.82
96,Béoumi,7.67,78.8,20,88,2.24
97,Hong Kong,22.29,80.47,62,78,5.99
98,Tadine,-21.55,71.01,37,79,15.14
99,Cidreira,-30.18,54.39,6,64,5.19
100,Kamenka,51.32,66.0,15,56,11.99
101,Saldanha,-33.01,59.0,0,77,3.36
102,Ahipara,-35.17,52.21,1,81,7.34
103,Williams Lake,52.14,55.4,90,47,6.93
104,Safaga,26.73,91.4,0,19,11.41
105,Clyde River,70.47,37.4,1,86,33.33
106,Honningsvåg,70.98,48.2,75,81,24.16
107,Yeppoon,-23.13,66.2,90,93,4.56
108,Nikolskoye,59.7,64.31,6,45,6.71
109,Vanavara,60.34,57.61,99,94,8.05
110,Saint George,37.1,86.0,1,9,6.93
111,Puerto Cabezas,14.04,84.29,100,65,7.34
112,Dikson,73.51,31.75,4,95,15.21
113,Acaraú,-2.89,81.07,30,79,10.42
114,Faya,18.39,77.0,100,50,4.7
115,Romanovo,52.62,48.58,44,87,5.7
116,Nemuro,43.32,54.52,100,97,4.81
117,Aklavik,68.22,73.4,20,46,6.93
118,Pontal do Paraná,-25.65,55.38,90,87,10.29
119,Mūlki,13.1,75.2,75,94,9.37
120,Veere,51.55,63.45,100,72,2.24
121,Hobart,-42.88,53.19,45,66,8.05
122,Sabzawār,36.21,86.13,0,14,12.91
123,Dingle,11.0,78.26,100,85,4.23
124,Guerrero Negro,27.98,74.41,0,49,19.15
125,Mataura,-46.19,39.0,98,83,3.0
126,Borba,-4.39,90.37,73,51,3.56
127,Tegul'det,57.31,43.86,48,76,6.11
128,Tasiilaq,65.61,37.4,100,93,40.26
129,Ostrovnoy,68.05,56.05,100,63,6.8
130,Moose Factory,51.26,71.6,1,24,9.17
131,Katy,29.79,91.62,75,46,11.41
132,Ucluelet,48.93,59.0,20,67,9.17
133,Tomatlán,19.93,90.63,0,45,12.3
134,Hilo,19.73,71.46,90,78,4.7
135,Port Hedland,-20.32,68.0,15,40,8.05
136,Belyy Yar,53.6,66.2,92,68,6.71
137,San Cristobal,7.77,95.0,40,36,21.92
138,Urucará,-2.54,84.18,22,78,3.0
139,Ponta Delgada,37.73,62.6,40,72,11.41
140,Bengkulu,-3.8,75.76,22,74,4.14
141,Potiskum,11.71,94.17,58,31,6.67
142,Bayir,37.27,69.8,0,68,4.7
143,Kingsport,36.55,71.13,90,68,6.93
144,Manokwari,-0.87,79.09,0,74,4.05
145,Hanna,51.63,68.0,99,58,5.99
146,Sørland,67.67,50.0,75,87,6.93
147,Tarko-Sale,64.92,43.0,97,76,4.0
148,San Patricio,19.22,87.8,20,74,11.41
149,Narsaq,60.92,46.4,76,52,21.92
150,Marzuq,14.4,85.14,97,27,1.16
151,Oranjemund,-28.55,56.53,37,55,13.04
152,Varkaus,62.32,65.14,0,45,4.7
153,Srednekolymsk,67.45,69.87,0,42,4.56
154,Bethel,41.37,70.23,75,46,5.82
155,Tabou,4.42,79.03,100,84,7.96
156,Carnarvon,-24.87,64.74,31,34,19.95
157,Mar del Plata,-38.0,53.6,0,45,12.75
158,Arlit,18.74,105.87,95,8,9.37
159,Norman Wells,65.28,66.2,75,48,16.11
160,Inuvik,68.35,73.4,20,46,6.93
161,Goderich,43.75,58.1,9,71,11.3
162,Kilosa,-6.83,64.63,0,69,2.71
163,Ixtapa,20.7,84.09,5,62,13.87
164,Zhezkazgan,47.8,69.53,0,48,14.92
165,Boyuibe,-20.42,69.84,0,40,5.06
166,Dhaka,23.71,82.4,75,74,5.82
167,Xam Nua,20.42,69.17,98,95,1.66
168,Acapulco de Juárez,16.86,89.6,5,70,9.17
169,Garoowe,8.41,84.47,96,43,17.31
170,Bathsheba,13.22,87.8,20,62,20.8
171,Buraidah,26.33,96.8,92,18,13.87
172,Kalmunai,7.42,82.87,98,78,0.83
173,Yangi Marg`ilon,40.43,77.0,99,29,4.7
174,Lorengau,-2.02,82.47,80,75,8.41
175,Husavik,66.04,60.8,100,51,12.75
176,Pisco,-13.7,65.26,90,72,8.05
177,Tezu,27.92,77.25,95,80,3.33
178,Whitehorse,60.72,54.91,75,66,2.24
179,Galle,6.04,82.51,28,85,12.66
180,Paamiut,61.99,35.58,95,91,3.53
181,Camacha,33.08,71.6,20,78,9.17
182,Ketchikan,55.34,54.7,75,71,16.11
183,Mareeba,-17.0,71.04,75,88,5.82
184,Kavieng,-2.57,82.67,100,76,6.49
185,Saint Paul Harbor,57.79,51.8,90,81,5.82
186,Acoyapa,11.97,85.51,82,69,9.55
187,Lodja,-3.48,73.36,3,55,0.76
188,Richards Bay,-28.78,56.03,0,43,4.63
189,Bredasdorp,-34.53,55.4,100,93,3.47
190,Kyzyl-Suu,42.34,54.21,37,39,4.0
191,Atar,20.52,106.77,2,12,14.23
192,Pokhvistnevo,53.65,48.51,0,85,5.61
193,Talaya,61.38,62.31,78,46,2.37
194,Faanui,-16.48,80.53,13,74,8.46
195,Chui,-33.7,49.32,0,59,1.39
196,Katsuura,35.13,73.9,100,82,18.9
197,Pochutla,15.74,89.6,40,59,7.54
198,Örnsköldsvik,63.29,68.0,0,42,8.05
199,Cherskiy,68.75,65.17,0,43,2.51
200,Barra Patuca,15.8,84.7,65,62,9.46
201,Svetlaya,46.54,47.12,100,92,14.03
202,Caravelas,-17.71,78.04,0,66,4.9
203,Lüderitz,-26.65,62.6,24,36,9.17
204,Pīpri,19.8,77.0,75,94,3.36
205,Upernavik,72.79,32.9,100,94,14.61
206,Ankazoabo,-22.28,59.74,5,70,6.06
207,Arrondissement de Nogent-le-Rotrou,48.33,61.92,32,87,10.29
208,Pagouria,41.03,73.0,49,80,2.15
209,Pacific Grove,36.62,65.43,1,72,11.41
210,Auki,-8.77,78.89,14,82,5.26
211,Mount Gambier,-37.83,51.8,75,100,5.82
212,Beberibe,-4.18,86.0,75,62,11.41
213,Bonthe,7.53,77.97,100,86,6.58
214,Hasaki,35.73,71.55,75,94,5.82
215,Ancud,-41.87,48.54,90,100,5.82
216,Barrow,71.29,42.8,1,75,8.05
217,Puerto Nariño,-3.77,89.6,40,66,4.7
218,Rūdbār,30.15,86.86,0,12,4.79
219,Mastic Beach,40.77,68.94,1,43,13.87
220,Torbay,47.67,45.46,90,100,11.41
221,Venado Tuerto,-33.75,62.01,0,20,14.0
222,Fort Smith,35.39,89.29,40,46,3.36
223,Nadym,65.53,40.15,80,70,23.53
224,Port Jervis,41.38,67.64,3,43,5.32
225,Vanimo,-2.67,78.04,100,86,4.34
226,Port Hardy,50.7,55.4,75,71,8.05
227,Polkowice,51.5,65.35,1,70,6.29
228,Kruisfontein,-34.0,52.07,6,44,6.15
229,Boguchany,58.38,57.79,94,90,6.82
230,Ambon City,-3.7,80.11,20,84,11.5
231,Mahabalipuram,12.63,87.8,20,66,4.7
232,Bafatá,12.17,91.29,3,48,3.4
233,Chicama,-7.84,72.81,43,58,9.62
234,Dogondoutchi,13.64,94.6,99,27,14.76
235,Hambantota,6.12,82.4,90,78,5.82
236,Kranuan,16.71,78.8,75,88,8.05
237,Dunedin,-45.87,42.93,58,68,3.0
238,Margate,51.38,65.61,100,66,1.99
239,Kaeo,-35.1,45.5,0,96,5.01
240,San Martín,-33.08,59.0,0,21,5.82
241,Alekseyevka,50.63,63.45,91,88,15.19
242,Barcelona,41.39,71.62,20,83,12.75
243,Kirakira,-10.45,80.37,100,82,13.94
244,Dukat,62.55,61.39,92,43,2.46
245,Siālkot,32.51,82.4,0,65,4.7
246,Airai,-8.93,57.38,1,99,4.32
247,Solnechnyy,50.72,44.8,100,86,8.5
248,Geraldton,-28.77,53.6,75,93,8.05
249,Leningradskiy,69.38,46.49,53,81,6.89
250,Jos,9.92,70.45,6,83,5.03
251,Meulaboh,4.14,77.38,95,90,4.45
252,Ekhabi,53.51,38.26,100,96,9.19
253,Castro,-24.79,59.13,100,91,9.4
254,Ekenäs,59.97,64.09,68,52,6.64
255,Khatanga,71.97,54.46,0,41,14.97
256,Garissa,-0.45,77.23,0,64,21.9
257,Kānker,20.27,82.31,100,70,5.73
258,Vardø,70.37,48.2,75,87,4.7
259,Magalia,39.81,78.15,40,31,5.82
260,Yuxia,34.06,79.95,95,41,6.71
261,Nouadhibou,20.93,100.4,0,22,23.04
262,Tromsø,69.65,48.2,75,87,17.22
263,Shingū,33.73,74.07,100,91,6.49
264,Okhotsk,59.38,48.92,75,72,2.84
265,Deputatsky,69.3,62.29,6,49,2.66
266,Zhuhai,22.28,81.28,40,94,6.93
267,Port Pirie,-33.18,48.2,18,81,5.82
268,Caucaia,-3.74,84.45,75,62,11.41
269,Havelock,34.88,71.31,90,64,16.11
270,Mitzic,0.78,71.33,100,97,2.48
271,Bhisho,-32.85,47.86,90,42,3.36
272,Los Llanos de Aridane,28.66,73.4,40,73,3.36
273,Três Pontas,-21.37,68.49,1,74,7.58
274,Dolores,-36.31,50.45,0,47,5.73
275,Ugoofaaru,5.67,84.42,88,80,14.65
276,Santiago,-33.46,71.71,0,25,3.36
277,Kongolo,-5.38,72.93,0,43,3.65
278,Merauke,-8.47,79.3,100,82,17.02
279,Magadan,59.57,51.31,0,64,2.26
280,Pedernales,18.04,91.4,40,63,13.87
281,Santa Cecília,-26.96,55.36,72,81,3.69
282,Lebu,-37.62,53.58,68,62,4.74
283,Isangel,-19.55,71.6,20,88,6.93
284,Syracuse,37.09,72.63,0,83,11.41
285,Baykit,61.67,44.85,0,80,5.23
286,Januária,-15.48,78.35,0,43,5.46
287,Pericos,25.05,92.28,75,49,11.41
288,Mut,36.64,66.76,29,49,0.72
289,Port Macquarie,-31.43,46.8,0,93,4.25
290,Manaus,-3.1,86.0,40,74,4.7
291,Pangkalanbuun,-2.68,77.47,100,89,1.57
292,Palmer,42.16,70.32,75,37,5.82
293,Corrente,-3.74,78.66,9,93,3.6
294,Half Moon Bay,37.46,67.12,90,77,12.75
295,Nizhneudinsk,54.91,63.27,96,58,5.28
296,Almaznyy,48.04,69.8,40,73,11.18
297,Takāb,36.4,56.7,0,37,3.09
298,Qui Nhon,13.77,79.39,100,85,4.29
299,Iquique,-20.22,64.4,75,68,8.05
300,La Ronge,55.1,71.6,75,56,14.99
301,Belaya Gora,68.53,69.15,100,49,12.64
302,Pyapon,16.28,81.97,100,86,2.15
303,Sungai Penuh,-2.08,64.94,9,92,2.73
304,Makkah al Mukarramah,21.43,93.61,1,20,3.91
305,Panórama,40.59,78.04,20,50,5.82
306,Esperance,-33.87,53.6,8,87,10.29
307,Mala Tokmachka,47.54,69.8,40,73,2.24
308,Fairmont,39.49,67.6,1,68,6.93
309,San Miguel de Tucumán,-26.82,66.2,0,37,6.93
310,Tura,25.52,75.92,100,96,6.24
311,Cayenne,4.93,86.0,45,66,9.17
312,Poum,-20.23,73.99,7,76,19.46
313,Brørup,55.48,65.57,0,59,9.17
314,Sur,22.57,86.76,98,62,12.55
315,Bambanglipuro,-7.95,78.13,7,88,7.72
316,Port Blair,11.67,83.14,100,82,13.29
317,São Filipe,14.9,77.56,0,78,11.43
318,Riyadh,24.69,93.2,0,15,6.93
319,Mersing,2.43,78.8,65,94,4.7
320,Viedma,-40.81,56.59,3,36,19.95
321,Kulhudhuffushi,6.62,84.58,84,78,18.34
322,Verkhoyansk,67.54,64.54,62,45,8.43
323,Kysyl-Syr,63.9,51.17,0,85,2.98
324,Noumea,-22.28,68.0,90,77,5.82
325,Usinsk,65.99,48.85,41,65,6.96
326,Marawi,8.0,75.99,100,90,5.99
327,Komsomolets,53.75,49.66,0,56,3.96
328,Malumfashi,11.79,85.87,63,50,14.5
329,Dalbandin,28.89,86.18,0,12,3.44
330,Iroquois Falls,48.77,69.8,40,21,9.17
331,Zheleznodorozhnyy,55.75,63.03,33,55,6.71
332,Iqaluit,63.75,39.09,90,83,5.06
333,Pangody,65.85,37.47,1,77,22.88
334,Buchanan,5.88,78.8,75,94,4.47
335,Awjilah,29.11,85.71,0,18,5.7
336,Mbigou,-1.9,70.16,100,91,3.8
337,Lázaro Cárdenas,17.96,86.47,22,65,10.85
338,Medina del Campo,41.31,64.31,83,51,11.41
339,Senneterre,48.38,64.4,20,25,4.7
340,Lompoc,34.64,68.4,0,56,18.34
341,Steamboat Springs,40.48,68.29,1,19,16.11
342,Okaihau,-35.32,45.52,0,96,5.01
343,Thinadhoo,0.53,84.54,47,76,14.72
344,Lagoa,39.05,62.29,55,71,11.07
345,Vestmannaeyjar,63.44,50.0,90,81,17.22
346,Biltine,14.53,87.21,0,21,1.59
347,Burgeo,47.62,57.02,100,69,3.65
348,Bilma,18.69,102.67,57,9,9.51
349,Jakar,27.55,58.23,98,76,1.54
350,Gao,16.64,104.63,9,11,4.56
351,San Benito,16.91,84.2,52,75,3.0
352,Tūkrah,32.53,76.39,0,40,10.0
353,Igrim,63.19,43.05,3,70,4.92
354,Mossendjo,-2.95,68.23,72,96,2.24
355,Falmouth,50.15,60.84,33,87,10.29
356,Laas,46.62,51.8,75,81,4.7
357,Macusani,-14.08,48.09,29,53,6.2
358,Dalvik,65.97,60.8,94,51,12.75
359,Pangnirtung,66.15,39.2,75,69,14.99
360,Ardatov,55.24,50.79,99,93,7.92
361,Carutapera,-1.2,81.09,50,87,5.66
362,San Juan,-31.54,62.58,0,29,6.51
363,Neiafu,-18.65,73.4,75,88,6.93
364,Miranda de Ebro,42.69,60.22,40,67,12.75
365,Yazman,29.12,102.61,0,10,8.52
366,Namatanai,-3.67,79.92,86,82,4.65
367,Collie,-33.37,54.0,10,67,3.47
368,Rapid Valley,44.06,91.36,1,16,17.22
369,Bagan,54.1,48.85,37,81,6.76
370,Tigil',57.8,55.65,87,47,0.47
371,Yerbogachën,61.28,56.98,99,95,7.9
372,Fairbanks,64.84,58.32,90,77,6.93
373,Andra,62.51,41.95,49,73,6.6
374,Jhābua,22.77,81.34,100,79,10.87
375,Kenora,49.82,71.29,75,30,17.22
376,Ponta do Sol,32.67,67.93,20,73,17.22
377,Brae,60.4,59.0,1,93,5.82
378,Tungor,53.38,38.7,100,96,8.93
379,Babīna,25.25,89.85,51,51,9.64
380,Emerald,-23.53,61.5,40,100,6.93
381,Cabo San Lucas,22.89,90.34,5,43,14.99
382,Kavaratti,10.57,85.82,100,76,22.32
383,Verāval,20.9,85.93,100,77,7.25
384,Atagay,55.1,59.92,43,72,3.74
385,Harper,4.38,78.75,90,85,8.08
386,Valparaíso,-33.04,54.18,75,93,13.87
387,Souillac,-20.52,71.6,20,83,9.17
388,Cockburn Town,21.46,82.4,40,83,5.82
389,Matara,5.95,81.01,41,86,10.42
390,Mulegé,26.88,93.74,0,31,10.63
391,Qingdao,36.1,72.0,100,77,4.47
392,Arica,-18.48,68.0,19,68,11.41
393,Belmonte,-15.86,78.8,20,69,5.82
394,Phalombe,-15.81,56.16,18,89,4.88
395,Mahajanga,-15.72,75.2,6,53,2.24
396,Marrakesh,31.63,86.0,0,25,10.29
397,Hohhot,40.81,57.2,85,47,4.47
398,High Rock,26.62,84.2,75,74,11.41
399,Kingaroy,-26.53,53.53,15,93,4.07
400,Rudnogorsk,57.26,56.3,48,92,4.92
401,Ranong,9.97,79.99,97,82,9.01
402,Sinop Province,41.77,58.08,81,80,10.29
403,Broome,42.25,62.13,75,47,4.7
404,Arshan',46.27,83.21,40,30,8.95
405,Tucumcari,35.17,93.2,1,16,20.8
406,Mandiana,10.63,85.39,12,50,5.23
407,Kuril'sk,45.23,51.69,100,87,9.69
408,Severo-Kuril'sk,50.68,40.51,100,93,14.65
409,Tazovsky,67.47,41.97,100,73,25.93
410,Cēsis,57.31,57.99,100,76,5.01
411,Coahuayana Viejo,18.73,80.6,40,65,11.41
412,Islamkot,24.7,88.56,26,61,16.02
413,Vila Franca do Campo,37.72,62.6,40,72,11.41
414,Biak,-0.91,77.16,95,80,6.91
415,Beringovskiy,63.05,41.65,2,85,8.01
416,Beidao,34.57,69.73,100,48,2.64
417,Lere,10.39,74.48,17,81,3.98
418,Celestún,20.87,84.58,6,65,10.74
419,Thai Binh,20.45,78.8,75,94,10.29
420,Unaí,-16.36,77.81,0,53,5.08
421,Te Anau,-45.42,47.01,100,80,6.96
422,Saint-Michel-des-Saints,46.68,64.0,7,4,1.01
423,Tynda,55.17,49.32,100,90,2.66
424,Swan River,52.11,82.36,81,53,16.62
425,Hobyo,5.35,79.74,90,70,24.36
426,Soligalich,59.08,51.33,0,79,3.29
427,Ozinki,51.18,57.34,0,78,12.68
428,Ambulu,-8.35,76.08,100,89,3.27
429,Songea,-10.68,66.2,5,63,4.7
430,Nandyāl,15.48,81.75,100,69,9.69
431,Nha Trang,12.25,80.6,75,88,1.12
432,Tongren,27.72,75.06,100,91,2.19
433,Praia,14.92,86.0,0,48,16.11
434,Boa Vista,2.82,86.0,75,58,5.82
435,Maturin,9.75,91.24,56,50,9.8
436,Panguna,-6.32,68.4,0,96,2.62
437,Pevek,69.7,37.83,4,87,5.59
438,Hirado,33.36,74.41,100,81,3.0
439,Östersund,63.18,73.4,37,35,3.36
440,Orvault,47.27,61.99,100,93,5.82
441,Rameswaram,9.28,86.43,100,72,14.47
442,Nantucket,41.28,64.4,1,68,21.92
443,Semypolky,50.72,66.83,11,77,6.71
444,Caucayá,-0.19,83.14,88,65,4.03
445,Jumla,29.27,59.0,85,68,3.11
446,Baisha,26.52,76.35,100,85,2.95
447,Berdigestyakh,62.1,49.55,0,92,1.66
448,Hobbs,32.7,87.94,5,18,18.34
449,Semīrom,31.42,60.33,0,28,4.43
450,Bulembu,-25.97,49.53,0,46,3.36
451,Oranjestad,12.52,89.6,20,59,25.28
452,Nome,64.5,64.53,1,45,5.82
453,Moranbah,-22.0,64.85,39,96,8.95
454,Bāfq,31.61,88.77,0,11,1.81
455,Saint-Augustin,51.23,56.53,0,45,13.31
456,Mnogovershinnyy,53.94,38.75,100,100,6.26
457,San Quintín,30.48,70.72,0,59,15.35
458,Santa Isabel,-23.32,61.7,90,82,8.05
459,Taoudenni,22.68,107.37,0,10,11.74
460,Woodstock,43.13,65.12,75,42,13.87
461,Baghdad,33.34,87.8,26,35,4.7
462,Előszállás,46.83,65.23,100,88,11.12
463,Kapit,2.02,74.7,100,94,1.81
464,Bulgan,48.81,57.61,100,45,2.24
465,Pierre,44.37,86.31,1,45,23.04
466,Kamaishi,39.27,66.43,57,90,7.9
467,Lhokseumawe,5.18,78.67,100,85,4.18
468,Dullewala,31.84,99.27,0,14,8.81
469,Lethem,3.38,75.58,100,87,3.98
470,Gizo Government Station,-8.1,82.67,56,78,10.13
471,Olafsvik,64.89,48.27,100,94,23.35
472,Andenes,69.31,48.2,75,87,10.29
473,Dedza,-14.38,49.05,64,100,3.56
474,Zyryanka,65.75,70.79,73,41,8.52
475,Lakatoro,-16.1,75.2,75,88,3.36
476,Vila Velha,-20.33,79.75,20,69,6.93
477,Kautokeino,69.01,60.91,52,54,14.2
478,General Pico,-35.66,59.07,0,31,17.02
479,Aswān,24.09,92.64,0,14,18.01
480,Yunhe,34.08,75.25,52,89,1.45
481,Versailles,48.8,67.33,21,60,5.82
482,El Reno,35.53,90.48,0,26,13.87
483,Gopālpur,19.27,84.96,100,82,10.36
484,Dalaba,10.7,66.99,100,100,3.85
485,Bintulu,3.17,78.39,75,94,4.7
486,Takoradze,4.88,78.73,78,86,8.46
487,Muhafazat Lahij,13.17,91.0,93,41,0.51
488,Alugan,12.22,80.37,100,81,0.98
489,Mhlume,-26.03,46.99,0,75,3.6
490,Twentynine Palms,34.14,81.03,1,16,3.36
491,Tual,-5.67,81.19,99,84,17.16
492,Karratha,-20.74,71.46,0,42,13.31
493,Santa Maria do Pará,-1.35,82.06,91,88,4.36
494,Lieksa,63.32,58.59,85,59,10.89
495,Tautira,-17.73,82.2,20,69,5.82
496,La Romana,18.43,87.8,40,66,14.99
497,Fagerstrand,59.73,69.48,0,57,2.28
498,Sechura,-5.56,75.87,10,55,13.73
499,Rognan,67.1,52.68,98,91,1.5
500,Mitú,1.2,81.97,60,92,2.59
501,São José da Coroa Grande,-8.9,78.3,5,81,12.55
502,Mandalay,21.97,83.52,100,72,10.0
503,San Vicente,-26.62,61.7,0,56,5.59
504,Alofi,-19.06,73.4,93,78,16.11
505,Rajpur,22.3,80.31,100,78,11.05
506,Peterhead,57.51,53.53,90,100,2.24
507,Charters Towers,-20.1,66.56,0,94,5.68
508,Sambava,-14.27,70.75,51,73,13.87
509,Samarai,-10.62,79.7,1,86,15.86
510,Boda,4.32,72.72,75,90,1.95
511,Verkhnyaya Toyma,62.23,54.97,100,74,3.47
512,Kati,12.74,75.2,20,78,6.93
513,Verkhnevilyuysk,63.45,48.0,8,94,3.24
514,San Antonio,29.42,87.66,20,38,4.7
515,The Pas,53.83,73.4,20,56,23.04
516,Vao,-22.67,71.49,28,77,19.53
517,Yaan,7.38,79.65,23,82,7.45
518,Naze,28.37,78.8,75,100,8.05
519,Rawson,-43.3,55.38,37,40,6.38
520,Nanortalik,60.14,38.25,18,82,23.96
521,Berlevåg,70.86,48.67,54,76,6.93
522,Touros,-5.2,80.6,40,78,5.82
523,Valentín Gómez Farías,28.22,85.59,6,15,12.3
524,Waipawa,-41.41,50.85,5,76,14.99
525,Sārangpur,23.57,84.74,66,61,7.0
526,Imbituba,-28.24,59.0,75,54,12.75
527,Foundiougne,14.13,92.62,97,59,6.93
528,Grand Gaube,-20.01,71.01,0,83,5.99
529,Constitución,-35.33,57.63,0,48,2.3
530,Oriximiná,-1.77,87.04,15,58,5.14
531,Santa Cruz de la Sierra,-17.8,73.4,75,35,11.41
532,Puerto del Rosario,28.5,73.4,20,78,17.22
533,Sibolga,1.74,77.79,7,80,3.31
534,Bahía Honda,22.9,84.18,88,70,4.74
535,Gandajika,-6.75,69.55,0,39,4.59
536,Mikkeli,61.69,64.99,0,47,4.05
537,Vila do Maio,15.13,86.0,0,48,16.11
538,Ust-Kuyga,70.02,64.31,16,54,2.48
539,Muravlenko,63.79,41.0,90,77,22.62
540,Xining,36.62,59.97,100,63,1.74
541,Coyhaique,-45.58,48.2,20,76,2.24
542,Milagro,42.24,71.6,91,46,11.41
543,Dubbo,-32.25,35.6,0,100,0.47
544,Moussoro,13.64,98.73,1,25,7.36
545,Arkhipo-Osipovka,44.37,66.96,38,82,5.75
546,Quatre Cocos,-20.21,71.29,20,83,9.17
547,Bolgatanga,10.79,91.99,87,43,9.08
548,Ōzu,33.5,73.99,100,85,1.01
549,Dongli,23.57,77.0,40,100,4.47
550,Bira,49.0,50.63,100,94,4.74
551,Selenginsk,52.01,57.2,44,62,2.24
552,Douglas,41.3,89.71,1,33,19.46
553,Toamasina,-18.17,68.0,75,94,6.93
554,Gādarwāra,22.92,79.52,74,79,2.75
555,Maniitsoq,65.42,35.08,100,85,10.25
556,São Félix do Xingu,-6.64,84.45,100,59,3.6
557,Huambo,-12.78,55.31,0,43,5.26
558,Mindelo,16.89,82.4,20,54,28.86
559,Thornhill,55.23,68.83,20,56,4.7
560,Dehlorān,32.69,93.2,0,11,10.69
